id_station;total_capacity;total_load
435;1007870;277641
436;742627;280261
437;947200;341204
438;650880;248769
439;798277;305483
440;958763;256844
441;792243;249026
442;867810;283090
443;1025932;257412
444;761991;257914
445;1060902;297382
446;767415;293163
447;949875;329669
448;1003706;239303
449;1029927;242100
450;979037;269047
451;963779;339425
452;757812;328895
453;688038;300735
454;1045664;303700
455;845825;239245
456;1007525;295882
457;782099;312843
458;684220;308080
459;745054;244290
460;941587;306451
461;902293;268149
462;924773;233479
463;696121;300798
464;765334;286160
465;947911;239578
466;980032;294652
467;825753;318259
468;1074417;247741
469;752216;281340
470;775819;315994
471;875556;277521
472;662392;331755
473;879060;284861
474;818870;278580
475;908173;278515
476;751158;293727
477;1012121;306319
478;717146;219494
479;1010869;307421
480;756810;293813
481;937467;256497
482;761867;255520
483;927901;299781
484;1030955;282105
485;925558;306458
486;970703;296604
487;754677;269100
488;887963;250018
489;959693;289381
490;666861;263161
491;975130;250745
492;731581;286591
493;865669;251699
494;897725;310662
495;913824;283729
496;968285;265840
497;948906;273923
498;917892;262884
499;785927;312589
500;928378;282924
501;855518;302552
502;1013548;302471
503;621312;340998
504;953724;314164
505;828627;251583
506;700785;285799
507;877786;223705
508;1021596;293713
509;668110;321132
510;740126;289897
511;969313;309479
512;1071829;310330
513;928417;229666
514;995782;309105
515;905564;269912
516;1008852;350936
517;688620;271410
518;708309;314784
519;714297;286944
520;677211;305771
521;727903;261818
522;868513;334761
523;793431;264683
524;804161;310109
525;1035665;314804
526;875197;325987
527;676853;292581
528;968293;259239
529;901356;262333
530;805360;275103
531;748299;245092
532;833436;248600
533;905860;287651
534;974773;276201
535;737038;325838
536;1016895;223369
537;706798;224693
538;945173;247493
539;735293;268672
540;667020;307993
541;702656;297425
542;798057;244267
543;984065;305460
544;658567;258768
545;681095;287074
546;892015;312492
547;877478;282122
548;682849;327607
549;651493;342198
550;915014;288023
551;905725;326467
552;1147045;242812
553;928909;275960
554;735801;239716
555;790773;324793
556;899326;358352
557;898725;269281
558;835767;312549
559;799576;349656
560;902447;249914
561;1051311;328356
562;663733;276764
563;671468;284428
564;998174;228111
565;695734;290244
566;796175;268340
567;1000426;252588
568;941688;264254
569;946182;272247
570;853231;231296
571;647233;289078
572;1025475;280655
573;876443;286142
574;638451;265331
575;994200;234729
576;727157;317371
577;898775;251136
578;932353;241245
579;1025085;228520
580;626140;282375
581;744329;261740
582;938981;264782
583;824362;349384
584;950881;232582
585;668616;222625
586;1014884;305554
587;935855;292310
588;916129;336972
589;747805;261229
590;1045311;251338
591;875020;302269
592;686231;305230
593;899516;299378
594;659956;279475
595;1046524;252108
596;1019626;278469
597;813629;297815
598;1025945;247839
599;885174;285462
600;789658;308904
601;1068789;323156
602;883722;239129
603;940922;248783
604;691660;286966
605;977072;282813
606;694399;300567
607;1044621;305896
608;813756;230920
609;905815;253579
610;710725;284745
611;1027597;287683
612;990345;261261
613;768310;227740
614;884760;212639
615;865007;299441
616;752688;217562
617;974522;246900
618;986755;226081
619;996699;262522
620;1040742;269433
621;879606;278709
622;983319;261718
623;755827;222882
624;679434;266149
625;746826;273544
626;986590;228978
627;1004353;242875
628;786325;280736
629;935666;276922
630;1056968;307957
631;966529;325502
632;704217;276480
633;868960;261751
634;826351;242038
635;901353;251829
636;1044401;242589
637;823677;260143
638;981744;224281
639;925281;336551
640;835746;259785
641;645719;283106
642;730529;329556
643;1038759;309676
644;1064942;306621
645;658112;259199
646;850100;334193
647;740224;286905
648;700951;265604
649;1055477;284149
650;974892;244265
651;702644;329777
652;623959;273960
653;843228;281161
654;679799;287064
655;820293;225489
656;680569;263555
657;1022658;268927
658;837894;252016
659;787370;350824
660;923704;302532
661;728210;298036
662;982088;296942
663;939777;295419
664;1014401;273123
665;1008992;231586
666;809105;215059
667;763862;304535
668;905386;271641
669;707843;269431
670;1049537;279963
671;763350;287617
672;682377;257347
673;916719;309660
674;663726;286957
675;854830;317291
676;681495;243222
677;816833;255983
678;1069789;288872
679;877900;288596
680;666989;264424
681;750510;288245
682;848671;306390
683;982252;258062
684;648391;267902
685;1015854;302469
686;840566;243252
687;944793;254394
688;908479;277923
689;635540;314050
690;532320;306755
691;658863;254495
692;871700;299538
693;571047;310841
694;855743;315684
695;788918;227236
696;570805;289107
697;585280;251606
698;838632;270766
699;732956;301885
700;761568;244132
701;552501;279662
702;708916;251350
703;744859;318609
704;622225;318106
705;836448;267118
706;813897;316073
707;649284;231525
708;669754;289257
709;676424;254084
710;540811;308897
711;542780;297048
712;759452;298267
713;541846;310264
714;854754;279768
715;788847;305044
716;664408;258052
717;569671;246480
718;603998;277171
719;786166;238395
720;588397;301980
721;741959;237498
722;673361;257317
723;773663;227288
724;715048;251818
725;642237;243498
726;722415;270595
727;761234;333530
728;680159;264520
729;737739;269213
730;805517;312621
731;793483;272232
732;575391;317268
733;663618;261308
734;732434;339997
735;728631;306946
736;768995;290027
737;768215;277482
738;624160;290038
739;714441;313187
740;829627;257549
741;804814;321642
742;777246;326724
743;844941;305434
744;598574;244980
745;775402;227509
746;833385;269142
747;803734;264680
748;578730;231189
749;814943;293578
750;835076;224968
751;657533;340470
752;698370;321116
753;526644;287764
754;660563;229096
755;756559;254684
756;859505;301559
757;744420;280593
758;542750;241623
759;598406;274083
760;711005;337845
761;539452;330918
762;729962;225217
763;716782;244447
764;797405;222647
765;747150;259370
766;533849;311328
767;806219;223198
768;542999;291426
769;797161;274551
770;828052;236754
771;727566;306277
772;773487;316464
773;857605;279704
774;553272;277447
775;773582;248060
776;577620;226540
777;663175;333161
778;559647;254761
779;560547;232287
780;528205;272363
781;713120;277170
782;550209;321813
783;753645;279601
784;809706;313716
785;581925;320636
786;711254;247539
787;745015;328493
788;641534;316183
789;563512;246468
790;765624;237072
791;588513;287959
792;597086;254453
793;745747;295985
794;605175;242839
795;819327;271693
796;792992;327597
797;676286;253935
798;650768;334005
799;794280;287167
800;518061;223836
801;553459;225548
802;646517;322380
803;833970;233927
804;749618;226171
805;761829;235690
806;825639;278105
807;728609;217457
808;642404;328448
809;738409;312258
810;610095;231455
811;801990;317377
812;650818;268190
813;776302;313612
814;855855;263832
815;595249;305200
816;544284;265559
817;757107;226127
818;587698;234336
819;692863;309450
820;806313;313690
821;763029;251268
822;660078;340110
823;523392;289456
824;794801;307449
825;752398;276044
826;836298;298733
827;862892;303270
828;860181;339744
829;831141;332406
830;707574;282695
831;534575;240804
832;772830;272090
833;650297;241501
834;844374;321288
835;652423;282515
836;560662;273026
837;854378;247308
838;740460;273222
839;776532;229552
840;605563;305001
841;756099;308809
842;713957;214871
843;607871;308891
844;762925;220656
845;584788;244402
846;747918;331823
847;565953;295720
848;866032;314555
849;783873;244592
850;537124;254052
851;644393;279816
852;690407;288802
853;689703;245658
854;588761;303129
855;587410;264229
856;560914;316251
857;712593;255582
858;764342;241056
859;526887;277954
860;716662;298013
861;808766;260235
862;652895;223151
863;525470;314905
864;711656;360703
865;856171;230202
866;789138;361515
867;717484;269200
868;714389;297922
869;554782;312963
870;767909;284091
871;588873;278992
872;627060;261924
873;717057;230126
874;736596;328147
875;568463;281001
876;726795;291481
877;824242;271915
878;682887;281236
879;564751;216161
880;822926;270955
881;602765;350241
882;687775;317198
883;847660;305493
884;662122;250093
885;701437;242431
886;608357;258565
887;620674;256748
888;772756;267180
889;531972;330210
890;710597;225785
891;786175;295090
892;804424;241755
893;516385;329300
894;591618;253571
895;818219;246849
896;792657;294170
897;862798;318005
898;867052;321521
899;699022;215109
900;598233;269431
901;526693;316253
902;843623;244160
903;580096;349229
904;545501;241439
905;865454;248048
906;822094;327579
907;730035;238802
908;820642;244244
909;859538;265315
910;759287;261728
911;537101;259137
912;766438;253107
913;666624;246220
914;556049;286288
915;762053;345872
916;835618;292064
917;809521;281281
918;686894;327019
919;700453;263699
920;731724;247214
921;664570;287982
922;645087;265181
923;803337;240057
924;846394;316397
925;659655;283467
926;528014;255609
927;712536;298658
928;588949;225848
929;721220;272044
930;593941;266558
931;642534;301837
932;543437;311719
933;703176;284501
934;680852;285867
935;707379;233000
936;853136;269063
937;563721;344829
938;811141;276509
939;530536;303465
940;733783;285500
941;563694;230546
942;726024;311121
943;847849;283270
944;776121;244420
945;775435;229281
946;656633;311827
947;825986;285060
948;574334;308654
949;553222;268676
950;828886;265676
951;743399;263215
952;729070;255861
953;656790;266520
954;831496;291395
955;755848;314775
956;791457;301906
957;529382;268666
958;535005;305911
959;807538;259210
960;734222;302880
961;546824;300459
962;564519;305865
963;697152;228974
964;828130;265679
965;714202;302051
966;841003;311551
967;765621;295047
968;820613;236916
969;642419;274091
970;707116;272168
971;760692;227809
972;847740;286997
973;697801;276336
974;680777;261833
975;860831;271830
976;845133;301547
977;737626;229550
978;583848;289543
979;639373;323233
980;844039;223899
981;870754;232402
982;682705;323838
983;553286;238662
984;692493;335195
985;816004;289935
986;582120;311829
987;751103;311767
988;740160;348209
989;851732;262517
990;842542;244697
991;720573;260134
992;818090;275566
993;824121;315773
994;771846;303967
995;793468;308382
996;591578;246471
997;796482;253929
998;604100;282836
999;795311;353413
1000;598262;285734
1001;598425;283423
1002;579948;269781
1003;556397;280197
1004;710600;271320
1005;822425;250217
1006;710482;303682
1007;804898;268838
1008;693333;335196
1009;587640;291758
1010;600267;327105
1011;807152;310359
1012;723821;211919
1013;706319;241961
1014;776065;303240
1015;701642;293419
1016;775799;231172
1017;721512;319751
1018;573434;238683
1019;648351;240001
1020;838810;236424
1021;759529;249631
1022;699151;226595
1023;730863;320312
1024;663268;271736
1025;580292;308247
1026;839594;240885
1027;793431;297884
1028;788269;262417
1029;812508;281513
1030;702617;296411
1031;745464;304475
1032;791273;252286
1033;763942;321381
1034;733416;296072
1035;540416;242033
1036;637883;333386
1037;541154;307340
1038;759106;212349
1039;840534;279886
1040;673059;297329
1041;634038;295141
1042;550433;274345
1043;530949;225602
1044;846386;271329
1045;805808;308486
1046;682242;288095
1047;868241;266870
1048;577830;249686
1049;654544;327734
1050;585469;288009
1051;611908;311492
1052;550769;252753
1053;478106;239042
1054;682669;315064
1055;691842;315142
1056;545175;234536
1057;556198;295226
1058;439420;308964
1059;643473;334871
1060;573096;259478
1061;561195;292689
1062;519207;236563
1063;436228;250331
1064;425958;227401
1065;629145;223290
1066;462081;289013
1067;690449;319317
1068;696521;337995
1069;473546;329854
1070;697868;313862
1071;618154;348117
1072;667713;306212
1073;556972;280051
1074;574146;283039
1075;426975;287653
1076;488275;291264
1077;574040;320333
1078;671860;276201
1079;437045;313988
1080;615373;307072
1081;634226;310001
1082;621097;227422
1083;635441;249628
1084;610232;249986
1085;449117;304477
1086;477238;251831
1087;603236;276240
1088;641338;290884
1089;554505;221414
1090;560607;345646
1091;470422;318011
1092;430138;266856
1093;697369;304753
1094;471782;242589
1095;506161;298069
1096;682401;296131
1097;480514;294136
1098;693786;279690
1099;489759;267347
1100;429374;265081
1101;572600;280151
1102;574139;300468
1103;630698;249256
1104;455261;269371
1105;452631;326743
1106;463053;297873
1107;455729;344986
1108;562426;259160
1109;533577;320617
1110;430335;243082
1111;653276;232611
1112;588696;291362
1113;479601;278946
1114;486159;312559
1115;450806;343128
1116;658669;204652
1117;686973;284481
1118;434513;338678
1119;530211;311941
1120;645381;236759
1121;467370;273614
1122;598365;274612
1123;655792;291147
1124;458374;284985
1125;510851;370450
1126;514144;321039
1127;536194;255810
1128;614990;257011
1129;546733;251638
1130;549168;340210
1131;666565;309115
1132;701210;260500
1133;492182;260965
1134;638768;311181
1135;543807;312288
1136;455454;250322
1137;484722;210524
1138;571597;310329
1139;432045;265713
1140;586341;226347
1141;547050;344838
1142;464155;258720
1143;526714;295558
1144;540530;296067
1145;457121;278868
1146;461347;246470
1147;582884;244902
1148;676070;295208
1149;570881;306345
1150;528626;229360
1151;612936;237402
1152;589812;247983
1153;589231;290002
1154;445850;301279
1155;638768;253276
1156;590538;266849
1157;445929;313544
1158;691500;249213
1159;593956;273166
1160;525037;254148
1161;473574;248535
1162;677516;237285
1163;427228;294615
1164;422865;280086
1165;575473;279464
1166;553805;251635
1167;617063;298460
1168;495685;274038
1169;574022;300004
1170;624394;246052
1171;470716;310080
1172;481290;245870
1173;420083;329621
1174;689472;326292
1175;419544;259678
1176;582239;265998
1177;578271;342624
1178;562952;302126
1179;693807;303358
1180;550223;256717
1181;561575;264815
1182;646813;231466
1183;436548;243917
1184;666946;319202
1185;536866;320334
1186;498570;332324
1187;698679;311698
1188;475463;255767
1189;604125;303509
1190;549927;237603
1191;618380;242197
1192;669584;329985
1193;622706;283706
1194;611499;297602
1195;460734;220549
1196;500182;236041
1197;649480;266958
1198;643472;296719
1199;643356;252864
1200;621023;238461
1201;599445;334451
1202;629010;325491
1203;602445;304497
1204;690681;259608
1205;460127;216369
1206;614707;304730
1207;589294;300342
1208;514557;287641
1209;497826;245987
1210;484084;311199
1211;438298;217079
1212;506439;244253
1213;551126;261321
1214;497310;281929
1215;649812;213170
1216;596394;235010
1217;597875;233486
1218;401190;287056
1219;457534;226212
1220;485546;272853
1221;631495;272329
1222;620835;319291
1223;493188;271295
1224;459762;267711
1225;689363;236711
1226;486140;257731
1227;528183;272297
1228;598321;292811
1229;461988;281567
1230;525130;273004
1231;616118;273006
1232;455092;345733
1233;441907;250388
1234;601560;296877
1235;593482;302899
1236;651554;293076
1237;607654;302298
1238;560438;304058
1239;507063;252519
1240;631826;247371
1241;648281;226791
1242;517347;340036
1243;656081;246239
1244;447102;237894
1245;574387;305993
1246;667965;251429
1247;565978;296161
1248;489719;242029
1249;677318;229024
1250;615941;246714
1251;458495;300898
1252;428367;311527
1253;529771;306601
1254;498402;218103
1255;544492;310193
1256;629686;271344
1257;573429;250266
1258;694364;324800
1259;513170;296076
1260;587592;300870
1261;427094;348194
1262;679478;305771
1263;609262;320631
1264;489165;278079
1265;585909;325362
1266;653506;258230
1267;636449;277660
1268;437849;263200
1269;433749;296233
1270;651502;282584
1271;638409;316079
1272;682316;281992
1273;437562;293488
1274;610813;229098
1275;465890;307460
1276;555563;304340
1277;665267;277021
1278;672269;257653
1279;690903;290884
1280;660787;262549
1281;602853;295204
1282;680212;259806
1283;615253;275050
1284;576682;289021
1285;596744;244478
1286;468757;337627
1287;617474;307676
1288;578274;289955
1289;495588;254377
1290;601855;295839
1291;439037;250287
1292;495084;321642
1293;454409;296806
1294;482515;298128
1295;461306;275842
1296;522740;235728
1297;437571;267071
1298;593473;316780
1299;420998;357134
1300;478826;238051
1301;577364;275162
1302;514655;245134
1303;486887;326241
1304;453369;243351
1305;570650;306038
1306;464134;284977
1307;578891;312732
1308;575742;266564
1309;439199;307411
1310;512932;269209
1311;520866;298667
1312;680415;306516
1313;592724;328778
1314;623015;294785
1315;464910;268559
1316;441441;237730
1317;520793;317709
1318;437421;267887
1319;398625;247454
1320;628324;287423
1321;436111;308392
1322;696873;279157
1323;420447;283152
1324;519244;274681
1325;655334;274258
1326;595160;228770
1327;508157;312826
1328;560645;318090
1329;663798;274886
1330;476353;338466
1331;607755;242421
1332;420254;291372
1333;702033;338083
1334;700153;267344
1335;539895;275064
1336;470190;308193
1337;607050;368245
1338;538706;259842
1339;496226;255657
1340;480758;313202
1341;630205;254599
1342;573752;246773
1343;653987;261781
1344;459120;289390
1345;645875;243282
1346;655273;308349
1347;565366;287377
1348;444331;253972
1349;438843;227569
1350;538205;316370
1351;518667;261541
1352;596511;288622
1353;571103;267426
1354;693008;289128
1355;585832;354405
1356;441596;280399
1357;485416;294160
1358;507902;312203
1359;594966;231476
1360;523848;341224
1361;545855;305155
1362;613840;354572
1363;498188;315204
1364;658984;231182
1365;637396;299110
1366;642341;353177
1367;513438;227020
1368;650638;298431
1369;605966;319838
1370;639987;225352
1371;582048;228892
1372;600616;291773
1373;568549;314838
1374;539128;295964
1375;534431;247532
1376;694967;224554
1377;613142;328202
1378;475392;261545
1379;694957;264773
1380;649830;281869
1381;621619;316747
1382;574532;224626
1383;477826;276208
1384;540216;266876
1385;540285;294120
1386;623064;289174
1387;447626;274489
1388;557248;256046
1389;447628;322476
1390;566753;286917
1391;524939;294378
1392;659528;341826
1393;433914;304006
1394;699116;246846
1395;665377;284580
1396;430546;258016
1397;624365;262644
1398;435151;325789
1399;599470;348552
1400;494579;272623
1401;619304;327632
1402;529630;257369
1403;603934;275771
1404;415770;266423
1405;639417;324620
1406;562092;318424
1407;538751;231689
1408;649329;209954
1409;504683;250410
1410;617484;303636
1411;474988;338469
1412;487215;256700
1413;694733;292344
1414;511811;293790
1415;500512;214488
1416;564387;220198
1417;495388;280528
1418;644202;297978
1419;654571;290735
1420;601784;327211
1421;497655;310009
1422;531879;287340
1423;594236;283962
1424;626392;333642
1425;533213;247010
1426;603050;281309
1427;675036;252014
1428;687763;333915
1429;670655;239042
1430;686943;310679
1431;648459;270232
1432;559426;294416
1433;558513;319720
1434;685356;293414
1435;664734;311710
1436;625679;308929
1437;696823;296638
1438;639445;300867
1439;428961;315060
1440;459368;232578
1441;472394;245139
1442;488063;330682
1443;496962;294574
1444;436148;282869
1445;635587;318701
1446;428924;262856
1447;594847;265152
1448;474204;294603
1449;532169;321831
1450;495998;297132
1451;541095;244401
1452;420770;296386
1453;530200;237055
1454;547086;271680
1455;600011;260845
1456;436557;339220
1457;678543;308574
1458;611864;258841
1459;671192;234065
1460;422564;288766
1461;560060;303017
1462;414213;318329
1463;464394;300530
1464;492138;327986
1465;647624;263365
1466;535464;264977
1467;454599;340822
1468;457045;307866
1469;422625;229305
1470;451790;259320
1471;676048;289939
1472;462761;327371
1473;579392;335343
1474;410881;271909
1475;578566;263844
1476;557030;250602
1477;437449;248122
1478;477631;266070
1479;413971;315842
1480;462583;339626
1481;621364;280630
1482;495406;305349
1483;483591;268711
1484;525015;311839
1485;490300;266346
1486;630416;285414
1487;412643;251525
1488;383905;325257
1489;558880;252338
1490;638217;234726
1491;538193;322167
1492;413188;303770
1493;626783;306072
1494;615567;301958
1495;511054;238839
1496;648385;314874
1497;570062;275838
1498;469278;224528
1499;552908;304605
1500;548979;272353
1501;637424;311733
1502;443451;284591
1503;633722;258001
1504;585729;253869
1505;569079;236264
1506;561532;282571
1507;558292;303863
1508;431460;279826
1509;635540;316294
1510;414362;230089
1511;520658;303868
1512;421221;267381
1513;503346;265914
1514;420096;288908
1515;480540;253894
1516;633756;268634
1517;673433;297287
1518;445136;262471
1519;656199;269453
1520;495940;292737
1521;466006;297246
1522;608712;299736
1523;556107;273776
1524;571727;320445
1525;641489;272782
1526;599059;236073
1527;475847;286094
1528;653112;320665
1529;561681;246631
1530;419363;293428
1531;620472;211756
1532;436705;313364
1533;410946;285301
1534;407734;260616
1535;586799;295017
1536;412588;225532
1537;522034;305383
1538;427060;285791
1539;587545;258008
1540;431374;234953
1541;595937;293955
1542;645601;275909
1543;514032;323387
1544;650570;342732
1545;473829;337267
1546;442631;211086
1547;475095;344513
1548;431680;308081
1549;561758;334123
1550;400797;342441
1551;609141;234280
1552;575726;353426
1553;461015;260503
1554;589826;271552
1555;546893;280811
1556;506503;325003
1557;432162;295508
1558;395530;261321
1559;491281;325981
1560;406190;333996
1561;594143;224396
1562;659096;258352
1563;548828;218775
1564;619521;324470
1565;559618;314629
1566;436080;324965
1567;435669;228706
1568;411029;273605
1569;647105;328338
1570;537617;314135
1571;490820;261128
1572;523308;268914
1573;458686;253459
1574;491292;281399
1575;563889;302209
1576;502071;236473
1577;516135;309056
1578;478642;344917
1579;611834;303566
1580;412101;277210
1581;490581;308525
1582;508983;254026
1583;517250;263152
1584;619538;363258
1585;434378;334609
1586;417937;263179
1587;581609;277446
1588;556025;267532
1589;561858;291841
1590;629871;339212
1591;577951;242550
1592;490689;267837
1593;559075;322465
1594;563212;300158
1595;439433;275609
1596;506834;300926
1597;501705;315116
1598;567515;269337
1599;634634;234097
1600;444723;260678
1601;490274;323256
1602;614194;364404
1603;519518;304960
1604;458863;267521
1605;583300;301127
1606;536549;340553
1607;458180;287121
1608;652819;275991
1609;430638;313173
1610;521899;324393
1611;409024;253862
1612;493497;292049
1613;558391;234417
1614;596396;283352
1615;553078;312368
1616;546486;310374
1617;440362;337928
1618;424014;249920
1619;465466;241671
1620;436974;320138
1621;621319;232523
1622;629372;232324
1623;595820;296457
1624;591529;269766
1625;461109;276429
1626;632556;294240
1627;658935;204981
1628;582368;345493
1629;545846;332906
1630;468474;248449
1631;526380;307159
1632;647666;245913
1633;441679;326045
1634;452192;315619
1635;471345;282173
1636;417762;276350
1637;431036;316823
1638;440023;272156
1639;643313;284799
1640;557855;258774
1641;607985;295955
1642;479171;297529
1643;545460;252170
1644;654077;229076
1645;600916;283069
1646;442171;321859
1647;529521;217167
1648;451696;293538
1649;614771;263115
1650;455614;251405
1651;437827;255490
1652;568175;350042
1653;645716;242900
1654;466904;319913
1655;462049;288301
1656;597628;289044
1657;469760;258554
1658;502126;293564
